facility_id,facility_name,basin,city,state,zip_code,primary_naics_code,industry_type_subpart,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1000355,#540 BONANZA CREEK ENERGY - DENVER BASIN,540 - Denver Basin,Denver,CO,80202,211120,W-ONSH,293919.042,330937.72,273069.722,242958.734,261382.84,354850.7,243116.642,163013.8,151519.07,17728.25
1009238,220 Gulf Coast Basin DEC,"220 - Gulf Coast Basin (LA, TX)",Oklahoma City,OK,73102,211120,W-ONSH,586008.596,678933.08,811064.85,767413.32,808767.966,747874.26,171273.574,63896.146,94675.778,148424.596
1009170,260 East Texas Basin - BP America Production Company,260 - East Texas Basin,Houston,TX,77079,211130,W-ONSH,23735.104,76941.042,97345.036,67155.314,43942.41,42528.246,52433.886,62617.866,34844.106,40809.11
1009265,360 Anadarko Basin,360 - Anadarko Basin,Oklahoma City,OK,73142,211120,W-ONSH,124278.886,215964.304,253819.352,136681.234,311050.436,328260.992,258855.004,188100.356,206799.244,243416.194
1008287,360 Anadarko Basin DEC,360 - Anadarko Basin,Oklahoma City,OK,73102,211120,W-ONSH,319410.352,356909.018,447672.782,406376.586,252802.366,353194.722,381235.414,357671.756,396990.192,392734.616
1009281,395 Williston Basin QEP Energy Company,395 - Williston Basin,Denver,CO,80265,211120,W-ONSH,288651.938,334639.282,368280.778,349332.43,402104.536,547374.12,1062194.902,791734.17,226559.414,65451.136
1009276,415 Strawn Basin BKV,415 - Strawn Basin,Bridgeport,TX,76426,211120,W-ONSH,54645.812,54343.214,78816.522,221400.294,210443.35,188286.7,135593.948,204624.762,220281.886,280102.866
1008289,420 Fort Worth Syncline BKV,420 - Fort Worth Syncline,Bridgeport,TX,76426,211120,W-ONSH,428738.36,436885.218,441347.456,501431.448,494024.2,539760.19,499147.794,553615.534,731800.136,700990.432
1008290,430 Permian Basin DEC,430 - Permian Basin,Oklahoma City,OK,73102,211120,W-ONSH,517053.884,735790.076,676403.48,269530.824,355198.684,1951072.342,1073197.732,508022.914,551620.576,292748.384
1008622,535 Green River Basin - BP America Production Company,535 - Green River Basin,Houston,TX,77079,211130,W-ONSH,378232.832,357229.178,431334.762,527676.48,937829.9,929804.558,830568.134,804376.79,716661.178,746531.676
1009076,580 San Juan Basin - Simcoe LLC,580 - San Juan Basin,DURANGO,CO,81301,211130,W-ONSH,1076366.59,1126149.108,1204716.792,1335105.636,1633541.602,1418584.802,1324080.918,1341704.792,1014237.582,1038792.08
1008499,745 San Joaquin Basin Chevron USA Inc.,745 - San Joaquin Basin,San Ramon,CA,94583,211120,W-ONSH,12725.082,13570.822,18832.168,21156.97,19815.358,28318.686,33624.472,27096.472,24888.598,87678.662
1009862,"Amplify Energy Operating LLC 220 Gulf Coast Basin (LA, TX)","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,211130,W-ONSH,28241.578,21850.966,24061.36,62609.654,56792.974,53026.572,77510.268,47961.678,126322.856,132826.576
1009845,Anadarko Basin,360 - Anadarko Basin,Irving,TX,75039,211130,W-ONSH,56612.002,54794.454,56362.05,55926.452,56004.604,56066.39,35360.454,32923.714,107748.474,189536.586
1010183,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,211120,W-ONSH,366201.372,388889.532,382230.154,381565.266,329642.938,309155.256,424088.288,415414.248,516702.206,105916.95
1008224,Apache Corporation - Gulf Coast Basin 220,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77056,211130,W-ONSH,40376.302,94850.758,84091.59,26892.2,48272.094,87194.43,148819.448,109369.498,113038.074,87706.768
1009391,Apache Corporation - Permian Basin 430,430 - Permian Basin,Houston,TX,77056,211120,W-ONSH,512564.958,264941.676,237425.38,224093.774,161393.952,233427.612,357543.356,415901.446,831300.906,920656.86
1008937,Appalachian Basin - AAPG Province 160A,160A - Appalachian Basin (Eastern Overthrust Area),Williamsport,PA,17701,211130,W-ONSH,130253.462,122764.534,82243.828,64890.742,103111.118,97517.592,115599.634,175063.152,183180.872,704800.896
1010205,Arkoma Basin,345 - Arkoma Basin,OKC,OK,73102,211130,W-ONSH,374546.066,1091358.06,1292746.58,1203181.132,1090397.57,1343629.018,1105019.77,911113.382,880783.174,787392.388
1008795,"Arsenal Resources, LLC 160A Appalachian Basin",160A - Appalachian Basin (Eastern Overthrust Area),Wexford,PA,15090,211130,W-ONSH,23193.162,33041.304,33172.166,171809.878,20306.2,31046.598,19895.434,63610.39,49054.76,53508.942
1009732,BKV Operating LLC,160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,211130,W-ONSH,79943.104,68772.614,52583.156,39077.48,35693.13,31492.28,38463.692,62996.466,63123.49,60325.7
1008548,BOC 220 Gulf Coast Basin Onshore,"220 - Gulf Coast Basin (LA, TX)",Wichita Falls,TX,76301,211120,W-ONSH,19749.444,23148.242,23375.192,25422.39,16705.65,41724.65,46182.64,12719.936,16193.036,19292.036
1008492,"BPX Energy Arkla Basin, AAPG Basin 230",230 - Arkla Basin,Houston,TX,77079,211130,W-ONSH,53592.5,53577.5,95129.788,98420.434,68268.642,97391.88,233562.646,272526.838,324165.17,282086.482
1008632,"BPX Energy Permian Basin, AAPG Basin 430",430 - Permian Basin,Houston,TX,77079,211130,W-ONSH,821395.58,932235.916,611040.27,470279.794,611149.912,803741.976,195346.198,227180.764,128658.448,85080.56
1008630,"BPX Energy Petrohawk Gulf Coast Basin, AAPG Basin 220","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77079,211130,W-ONSH,299617.636,350889.98,282923.26,358728.61,464939.358,770238.902,854269.304,962769.33,488479.128,206809.826
1010319,BREITBURN OPERATING LP-BASIN 507,507 - Central Western Overthrust,GREEN RIVER,WY,82935,211120,W-ONSH,12326.846,17551.944,18233.398,19106.648,26697.492,28016.892,36614.192,39395.792,38115.644,45702.142
