facility_id,facility_name,state,primary_naics_code,industry_type_subpart,2020 Total reported direct emissions from Transmission Pipelines,2019 Total reported direct emissions from Transmission Pipelines,2018 Total reported direct emissions from Transmission Pipelines,2017 Total reported direct emissions from Transmission Pipelines,2016 Total reported direct emissions from Transmission Pipelines
1012420,Algonquin Gas Transmission L.L.C.,Connecticut,486210,W-TRANS,1036.7,7735.4,717.3,10773.15,1264.25
1012420,Algonquin Gas Transmission L.L.C.,Massachusetts,486210,W-TRANS,337.4,3347.65,23.0,264.55,7515.45
1012420,Algonquin Gas Transmission L.L.C.,New York,486210,W-TRANS,39.5,4692.15,7092.2,1551.05,24960.05
1013856,Atmos Pipeline Texas,Texas,486210,W-TRANS,84077.6194957,112132.0227041,204567.9400664,146756.1295839,115793.6763288
1012139,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Maryland,486210,W-TRANS,18.4116936,5813.2732055,3140.966538,11012.4951136,5261.7863285
1012139,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),New York,486210,W-TRANS,13314.3353622,12759.2842035,37099.0823905,30794.4126303,29554.3332535
1012139,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Ohio,486210,W-TRANS,3681.9265186,1.0415651,7710.9151501,9208.707063,56827.2632829
1012139,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Pennsylvania,486210,W-TRANS,20589.7091404,27322.648862,88983.9911327,96861.7481846,68998.4165439
1012139,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Virginia,486210,W-TRANS,1288.9396676,347.306537,136.4872128,11770.621544,33575.6936083
1012139,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),West Virginia,486210,W-TRANS,26431.8749203,25004.5836793,15082.0454394,30997.3175758,14331.4384206
1012699,"Equitrans, LP - Transmission Pipeline",Pennsylvania,486210,W-TRANS,4977.2924149,11854.7581032,4126.4554455,21280.1873886,38274.034
1012699,"Equitrans, LP - Transmission Pipeline",West Virginia,486210,W-TRANS,523.7627702,9724.4424187,3814.4479327,4551.8270462,9729.717
1012775,Gulf South Pipeline Blowdowns,Louisiana,486210,W-TRANS,19431.14,19145.31,17749.2,37249.42,23166.94
1012775,Gulf South Pipeline Blowdowns,Mississippi,486210,W-TRANS,7896.85,1221.66,6895.44,12755.7,348.4
1012775,Gulf South Pipeline Blowdowns,Texas,486210,W-TRANS,5300.61,45960.71,1387.85,69986.89,68286.43
1012732,Northern Natural Gas - Transmission Pipeline,Iowa,486210,W-TRANS,17285.93,35965.56,76358.34,19040.43,8187.83
1012732,Northern Natural Gas - Transmission Pipeline,Kansas,486210,W-TRANS,44072.54,31443.01,36310.35,22728.05,54228.18
1012732,Northern Natural Gas - Transmission Pipeline,Michigan,486210,W-TRANS,1442.36,50.65,1175.62,12.01,0.5
1012732,Northern Natural Gas - Transmission Pipeline,Minnesota,486210,W-TRANS,11424.37,12906.37,6157.6,10339.7,12832.66
1012732,Northern Natural Gas - Transmission Pipeline,Nebraska,486210,W-TRANS,52111.01,12009.76,2356.37,1060.54,10265.76
1012732,Northern Natural Gas - Transmission Pipeline,Texas,486210,W-TRANS,9049.69,2234.45,1022.47,6947.92,6429.95
