facility_id,facility_name,city,state,zip_code,primary_naics_code,industry_type_subpart,industry_type_sector,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1004377,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,562212,HH,Waste,504064.0,518680.25,653854.0,250497.5,221014.75,199011.75,241883.5,289953.25,204000.0,194000.0
1000112,23rd and 3rd,BROOKLYN,NY,11232,221112,"C,D",Power Plants,60819.7,44658.384,70705.288,52698.656,66797.352,67399.252,40722.2,102599.22,68984.744,100591.828
1003742,31st Street Landfill,WESTCHESTER,IL,60154,562212,"C,HH",Waste,100500.948,18925.4,31220.15,29026.8,120657.6,92696.6,120707.35,97467.5,87357.75,95113.25
1003188,3M BROWNWOOD,BROWNWOOD,TX,76801,326113,"C,N",Minerals,29359.64,30571.636,34432.42,36202.264,31773.48,36754.712,36419.864,34821.82,33671.924,37149.36
1005043,3M CO,MAPLEWOOD,MN,55144,541715,C,Other,82308.238,106258.176,104995.534,76595.41,79174.0,79440.076,81855.4,80335.194,72407.026,76373.372
1003739,3M CO - GUIN,GUIN,AL,35563,326113,"C,N",Minerals,27083.0,29770.94,28622.296,25133.956,18948.028,31694.636,33684.328,32082.184,31178.788,29977.592
1007698,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,212313,C,Other,46909.124,45435.226,40427.048,42620.94,36574.112,22926.664,26667.0,29429.54,27702.296,28388.544
1004206,3M COMPANY,DECATUR,AL,35609,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",44016.264024,46652.134232,48998.483072,47331.524872,48267.93266,47000.287444,53024.89056,58214.7428,57279.4644,60442.67208
1006665,3M CORDOVA,CORDOVA,IL,61242,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",657865.8974,766971.8816,723397.9932,713887.6054,697084.3049,889484.7437,1230363.0352,2289068.5036,1485532.2505,1380760.00524115
1004836,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",49540.272991,32126.480472,40325.9443,33796.9101,41687.8354,45416.31069,66306.62896,64664.1074,56198.97,73653.198
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,212399,C,Other,33733.426,30635.384,25541.604,29695.888,30646.084,24870.356,31188.932,28078.744,21306.22,22891.564
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,326199,C,Other,39621.3,39937.9,38917.952,37906.756,31373.332,36316.764,39453.852,37107.36,36169.064,39973.448
1004804,3M NEVADA PLANT,NEVADA,MO,64772,326113,C,Other,31562.832,33839.77,33196.276,30529.336,30263.836,31007.384,27259.448,29197.34,28930.992,30394.636
1004680,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,562212,HH,Waste,63873.5,67620.0,71586.5,75785.5,80230.75,84936.75,89918.75,95193.0,100776.5,106687.75
1000766,59th Street,NEW YORK,NY,10019,221330,C,Power Plants,149968.982,224910.106,260405.936,218874.796,232873.708,238778.194,262718.648,206935.342,199034.55,265415.758
1007733,69TH ST WWTP,HOUSTON,TX,77020,221320,C,Other,21730.668,24201.708,21834.068,22707.964,22362.816,26395.6,27184.248,26929.748,26822.848,25928.352
1000767,74th Street,NEW YORK,NY,10021,221330,C,Power Plants,174902.712,254385.114,270795.33,194944.188,205696.23,255020.78,272983.418,226196.74,148328.41,297071.804
1001033,A B Brown Generating Station,MOUNT VERNON,IN,47620,221112,D,Power Plants,2386473.354,2789540.744,2741626.714,2172917.248,2315093.224,2663665.556,3143355.92,2556867.744,2538211.824,2270617.68
1006009,ABB Inc.,Mt. Pleasant,PA,15666,335313,SS,Other,11023.8,15043.44,4468.8,6495.72,4550.88,10898.4,21637.2,70789.44,114.0,27106.92
1002983,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,424210,C,Other,55009.392,54130.096,54787.244,55489.192,55832.74,56777.334,64177.574,68720.94,58630.792,75805.464
1007514,ABBVIE LTD.,BARCELONETA,PR,617,325412,C,Chemicals,64383.468,86980.038,86045.7,82095.45,85474.85,95561.37,98333.766,106357.646,110110.44,116626.036
1004511,ABC COKE,TARRANT,AL,35217,324199,"C,Q",Metals,171414.198,177086.876,176844.078,166390.22,161315.038,171606.494,201540.706,199654.2,214858.5,223890.3
1005353,ABERDEEN ENERGY LLC,MINA,SD,57451,325193,C,Other,196953.308,193369.872,194354.968,189764.636,189764.636,180568.92,174747.692,182302.264,172174.552,162005.144
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,928110,C,Other,95765.878,108122.626,106920.024,83575.72,80483.606,69918.52,54155.474,33282.086,40467.052,51104.972
1002627,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,325193,"C,II","Other,Waste",142519.35,140703.258,170171.848,177140.222,174562.492,178561.368,179161.664,180438.26,172951.432,167013.704
1002685,AC 857 A,Offshore,TX,0,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,195340.752,214992.532,214868.72,209376.546,265377.77,275627.372,229358.716,180859.878,175745.18,134678.516
1006529,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,562111,HH,Waste,45082.5,53725.25,53049.5,52774.25,52502.75,51686.5,51001.0,50322.75,49691.0,47807.5
1004761,ACE ETHANOL LLC,STANLEY,WI,54768,325193,"C,PP","Other,Suppliers of CO2",69300.84,75591.916,73526.124,73406.124,74011.772,73115.024,75143.268,72119.23,71600.98,70091.236
1005601,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,327120,C,Minerals,26692.3,26165.752,27772.696,26481.6,55858.24,58615.68,29376.34,31235.332,24725.356,22273.0
